	$P1$	$P2$	$wages$
0	1.2	7.0	0.3345273360674421
1	1.1878764587887516	6.7211289112757715	0.31890069233991514
2	1.1796185033264877	6.476297433071771	0.3084342383358368
3	1.1739495632036558	6.277115638354334	0.30142075649914063
4	1.170016399040051	6.125177794232704	0.2967222472091917
5	1.1672474783874556	6.017242588632503	0.2935764507385348
6	1.1652596413509086	5.948293694448125	0.2914723515550789
7	1.1637959081592835	5.913047796193636	0.29006722521252215
8	1.1626838850048897	5.90662624410092	0.28913116078916584
9	1.161807903993215	5.924830690698429	0.28850990229065043
10	1.1610903485514907	5.9642305448280055	0.28809994162546765
11	1.1604789486769604	6.022129248058549	0.28781553473715954
12	1.1599390750346	6.096425419554569	0.2876264182391445
13	1.1594470285571512	6.185382636217358	0.2875010637467396
14	1.158987083525213	6.287376240876094	0.28741852259300693
15	1.1585486832602303	6.400666959827966	0.2873647323699522
16	1.1581247404823796	6.523247069954928	0.28733025252930733
17	1.1577104966979572	6.652770447230717	0.2873087447949975
18	1.1573027566951426	6.786556643868231	0.287295953338221
19	1.156899374754035	6.921653716328228	0.2872890203099193
20	1.1564989097785996	7.054947379952671	0.28728602642255013
21	1.15610039379663	7.183306820729032	0.28728568256517484
22	1.155703176548711	7.30375631973288	0.2872871248132014
23	1.1553068211607442	7.413657005280405	0.2872897714219691
24	1.1549110340718582	7.510876986544244	0.2872932314931591
25	1.1545156179923062	7.593924114122995	0.28729724232762593
26	1.1541204403116025	7.6620167797994325	0.2873016273506478
27	1.1537254118801232	7.715076242307745	0.2873062678542601
28	1.153330472756223	7.753638104156442	0.2873110840170219
29	1.1529355826309922	7.778697001850021	0.28731602215367585
30	1.1525407143945774	7.791511949732956	0.2873210461486822
31	1.1521458498126722	7.79340572220638	0.28732613169987387
32	1.1517509766205685	7.785588996457766	0.287331262449777
33	1.151356086569634	7.769031016462986	0.287336427384862
34	1.1509611741137888	7.744387342177675	0.28734161908742806
35	1.1505662355261188	7.711985324426858	0.28734683255989474
36	1.150171268304629	7.6718609107348845	0.2873520644339993
37	1.1497762707723937	7.623836071025129	0.2873573124387587
38	1.149381241808435	7.567623568336667	0.287362575042426
39	1.1489861806665362	7.502944233337181	0.28736785121146946
40	1.148591086853213	7.429641285851245	0.287373140248274
41	1.1481959600455007	7.347777127118792	0.2873784416818164
42	1.1478008000355453	7.25770099634811	0.2873837551939945
43	1.1474056066932397	7.160080955465461	0.28738908056996376
44	1.147010379941021	7.05589992766347	0.2873944176646425
45	1.1466151197368615	6.9464214213867645	0.28739976638011155
46	1.1462198260627807	6.833134449724418	0.28740512665035606
47	1.1458244989170854	6.717688312747089	0.28741049843095995
48	1.1454291383091222	6.601826581465877	0.28741588169213994
49	1.1450337442557286	6.487326821906554	0.2874212764140344
50	1.144638316778828	6.375949547086404	0.28742668258351567
51	1.1442428559038047	6.269397406343478	0.2874321001920299
52	1.1438473616583953	6.169284023124633	0.2874375292341338
53	1.1434518340719428	6.077111086604491	0.2874429627635652
54	1.1430562731358171	5.994252031994034	0.287448396421251
55	1.1426606788292002	5.921940647951569	0.2874538301454536
56	1.1422650511463952	5.8612630660247085	0.28745926389456783
57	1.1418693900918981	5.813151717335993	0.28746469764055627
58	1.141473695677079	5.778379971323809	0.28747013136453015
59	1.1410779679179437	5.7575563195874055	0.28747556505377164
60	1.1406822068336282	5.751117160325704	0.28748099869972793
61	1.1402864124453809	5.759317506123511	0.2874864322966584
62	1.1398905847758776	5.78221930232942	0.28749186584072245
63	1.1394947238487603	5.819677515591382	0.28749729932936435
64	1.139098829688322	5.871324726651808	0.28750273276096755
65	1.1387029023192972	5.936555610927805	0.2875081661345481
66	1.1383069417667195	6.014513359463778	0.2875135994495217
67	1.137910948055826	6.104080693495457	0.2875190327055748
68	1.137514921211989	6.203878537423703	0.2875244659025778
69	1.1371188612606744	6.312275494036049	0.28752989904052595
70	1.1367227682274093	6.427410869959324	0.28753533211949944
71	1.1363266421377638	6.547233026120322	0.2875407651396362
72	1.135930483017336	6.669553263936302	0.28754619810111376
73	1.1355342908917425	6.7921134246164225	0.28755163100413644
74	1.1351380657866121	6.912663155595035	0.28755706384892676
75	1.1347418077275817	7.029040798960373	0.2875624966357202
76	1.134345516740293	7.139250550673975	0.28756792936476055
77	1.1339491928503906	7.2415283221734965	0.28757336203629763
78	1.13355283608352	7.334389792952646	0.28757879465058545
79	1.1331564464653285	7.41665635824168	0.28758422720788057
80	1.1327600240214617	7.487457638504629	0.2875896597084417
81	1.132363568777566	7.546212332449443	0.2875950921525288
82	1.1319670807592859	7.592591864397634	0.28760052454040286
83	1.1315705599922652	7.626473069119254	0.28760144951799543
84	1.1311739600535227	7.647886899116667	0.28760237186596815
85	1.1307772819907564	7.656969897154478	0.28760329291132997
86	1.1303805265381912	7.6539241575542825	0.28760421356696997
87	1.1299836942151658	7.638989984569618	0.28760513446208996
88	1.129586785393492	7.612433554612519	0.2876060560312695
89	1.1291898003435423	7.574549876484944	0.28760697857536216
90	1.1287927392658237	7.525679310561376	0.28760790230319
91	1.1283956023126451	7.466234075781528	0.28760882736013227
92	1.127998389603005	7.396729801355124	0.2876097538477576
93	1.1276011012328409	7.317816530000638	0.28761068183732674
94	1.127203737282095	7.230303821378549	0.28761160974063904
95	1.1268062978107558	7.13517572565136	0.2876125375816603
96	1.1264087828736002	7.03359316632894	0.2876134653775347
97	1.1260111925217111	6.926883298384551	0.2876143931405715
98	1.1256135268035465	6.81651724783106	0.28761532087964625
99	1.1252157857656973	6.704078956480031	0.2876162486011914
